1060
0 2
0 5
0 9
0 10
0 11
0 15
0 16
0 17
0 18
0 22
0 26
0 27
0 28
0 29
0 33
0 34
0 35
0 36
0 37
0 38
0 39
0 41
0 44
0 47
0 48
0 50
0 51
0 52
0 57
0 58
0 59
1 2
1 4
1 5
1 8
1 9
1 10
1 11
1 12
1 13
1 14
1 16
1 17
1 18
1 19
1 21
1 24
1 26
1 27
1 28
1 30
1 31
1 32
1 33
1 35
1 36
1 37
1 39
1 40
1 41
1 45
1 49
1 50
1 51
1 53
1 54
1 55
1 56
1 57
2 4
2 6
2 8
2 9
2 10
2 11
2 12
2 13
2 14
2 15
2 16
2 18
2 19
2 20
2 21
2 23
2 25
2 26
2 27
2 29
2 30
2 31
2 32
2 33
2 34
2 35
2 38
2 39
2 40
2 42
2 46
2 48
2 49
2 50
2 51
2 54
2 56
2 57
2 58
3 4
3 5
3 6
3 12
3 13
3 16
3 17
3 19
3 21
3 22
3 24
3 25
3 26
3 28
3 29
3 32
3 33
3 34
3 35
3 36
3 38
3 39
3 41
3 42
3 46
3 47
3 49
3 50
3 51
3 54
3 56
3 57
3 59
4 5
4 6
4 8
4 11
4 13
4 14
4 17
4 18
4 22
4 23
4 24
4 27
4 28
4 29
4 32
4 33
4 34
4 35
4 37
4 38
4 40
4 41
4 42
4 43
4 44
4 45
4 46
4 47
4 48
4 50
4 51
4 52
4 55
4 56
4 57
4 58
4 59
5 6
5 7
5 8
5 9
5 10
5 12
5 14
5 22
5 23
5 24
5 26
5 27
5 29
5 30
5 31
5 32
5 33
5 34
5 35
5 36
5 37
5 39
5 42
5 43
5 44
5 48
5 50
5 52
5 55
5 57
5 59
6 8
6 11
6 15
6 16
6 17
6 19
6 20
6 21
6 22
6 23
6 26
6 27
6 29
6 30
6 31
6 33
6 36
6 39
6 40
6 41
6 42
6 43
6 45
6 46
6 48
6 51
6 52
6 56
6 59
7 8
7 10
7 11
7 13
7 14
7 15
7 16
7 19
7 22
7 24
7 28
7 30
7 31
7 32
7 34
7 37
7 38
7 39
7 42
7 44
7 50
7 51
7 52
7 53
7 57
7 59
8 9
8 13
8 15
8 18
8 19
8 20
8 22
8 25
8 26
8 28
8 29
8 33
8 34
8 35
8 36
8 37
8 38
8 39
8 40
8 41
8 44
8 45
8 46
8 47
8 48
8 49
8 50
8 51
8 52
8 53
8 54
8 58
9 10
9 11
9 13
9 14
9 18
9 19
9 21
